Time,Time Code,Country Name,Country Code,"Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]",Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],"Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]",Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Income share held by lowest 20% [SI.DST.FRST.20],"Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]",Net barter terms of trade index (2015 = 100) [TT.PRI.MRCH.XD.WD],Net migration [SM.POP.NETM],Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]",Population density (people per sq. km of land area) [EN.POP.DNST],Population growth (annual %) [SP.POP.GROW],"Population, total [SP.POP.TOTL]",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],"Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","School enrollment, secondary (% gross) [SE.SEC.ENRR]",Surface area (sq. km) [AG.SRF.TOTL.K2],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Urban population growth (annual %) [SP.URB.GROW],Gini index [SI.POV.GINI],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS]
2020,YR2020,Suriname,SUR,52.064,8.1360284150591,..,..,..,2931.48810175122,1688.41378493841,..,2.314,1039899.7054992,2911807496.20227,-15.9751917148622,4460,14240,2730375117.08852,8717246261.91069,..,2.51195891099727,45,..,..,36.5606718418582,45.2177563492464,72.321,127.961755880485,..,148.145421,17.8,142.1421785604,-296,27190000.5340576,124028649.078413,3.81487831013121,1.07530477821816,612317,..,..,1.5,..,87.8651504516602,..,104.956443786621,..,73.4222869873047,163820,..,8.5,18.6726844059855,1.15716740477834,..,..
2020,YR2020,Sweden,SWE,2.75,1.19966667848375,..,..,..,12607.4980668265,4287.0073851624,44.2599429832196,1.67,18517762637.6113,545147614972.141,-2.00533750353763,54670,59520,565987150162.984,616200879698.648,24.410184629369,15.1359508380239,97,40.0708387887778,8.2,21.8123640454111,1.79366288715698,82.3560975609756,56.0363820018935,1.14608642427625,123.3665446,2.6,99.0622796168,37302,..,3265896438.89928,25.4209438224317,0.722703912882934,10353442,0.4,15.7,..,..,99.6735229492188,32.2525810708591,119.500106811523,1.06958997249603,136.426132202148,528860,26.8222445905957,14.7,..,1.02894002235642,28.9,3.48959994316101
2020,YR2020,Syrian Arab Republic,SYR,41.213,33.8826886677658,..,..,..,772.467509688743,509.57367220202,13.6860074738725,2.837,..,12047752036.091,-0.697154504235129,790,3580,16700782408.2561,75397839082.896,..,..,70,31.1323278288755,..,21.0904043401274,61.5864142890263,71.944,79.6829148810634,..,80.20304156,22.4,96.0625949971,269050,10035040039.0625,0,114.629575777378,3.36188761247899,21049429,..,..,0.1,..,55.6847496032715,..,71.1900863647461,..,37.9215202331543,185180,..,0.7,..,4.54780238960506,..,..
2020,YR2020,Tajikistan,TJK,45.669,22.6904308448361,..,..,13.6359143675729,1647.1934936934,375.367379182413,17.3243145704475,3.211,106534792.807917,8133963550.65742,4.40000111553493,1030,4270,10041893219.0232,41597998466.9622,33.4749512555638,1.04642371011944,98,38.4247894490479,..,33.7965394725715,1.65596010469615,68.605,56.0366415661108,0.947973986993497,121.3847714,28,126.6259417648,-3564,714390014.648438,2186807504.316,70.2450464730888,2.27553632959872,9749310,..,..,0.2,..,..,..,101.094493467105,..,87.265519219648,141380,..,22.3,12.1310124688807,2.99432894458311,..,0.0896899998188019
2020,YR2020,Tanzania,TZA,117.034,25.254901665343,..,..,..,112.148371475424,405.685641474926,13.5038738462361,4.801,943765261.692,66068737786.0639,1.99196460647855,1060,3230,62810675650.5635,190837864398.182,38.7464874924603,2.68761929554671,87,14.4591413507523,..,27.0844502877132,6.42301399038681,66.771,21.9468397397756,1.07679696200969,83.00888599,44.2,121.847607364,-18587,2277000000,326160727.762653,68.8335944908557,2.99305168844906,60972798,..,..,4.7,..,67.1020278930664,13.3579651832576,95.8801506015427,1.04066002368927,30.7196795590619,947300,11.6267688543522,31,14.6321373713444,5.07840671077853,..,..
2020,YR2020,Thailand,THA,29.613,8.70285214673554,..,..,194.437876386349,2699.86032115136,1872.52037563351,51.4944266088919,1.259,-4293910676.95961,500461898480.246,-6.05003846851622,6900,18740,494232834583.284,1342482305856.76,23.7553851722696,27.6476472642596,96,46.3063166376258,7.5,33.2907229678575,-1.29877505741581,77.331,87.4771888388384,1.46077928107965,162.7043297,10.1,101.7556295645,32277,198039993.286133,8256962268.44208,140.228785061364,0.166540794566251,71641484,0,6.8,1.2,..,102.732437133789,20.0658736840342,104.676211372097,0.995733320713043,108.779183101525,513120,15.1931521641962,13.3,8.30746607492233,1.61189438990908,35,1.32817995548248
2020,YR2020,Timor-Leste,TLS,29.407,13.2621545207774,..,..,..,..,..,36.6662147455271,3.011,-712696166.42672,2162619200,31.7257416721413,2040,6720,2706304156.3241,8906012140.36031,16.4657004802325,..,74,48.0840963587117,..,36.7520088603671,-19.2266531049002,66.919,41.1075606838227,1.78169014084507,105.9938692,54.2,..,3793,249949996.948242,112649776.317104,89.1763954270343,1.91159373351817,1326053,..,..,0.2,31.9,100.890953063965,39.6503072205222,110.747111094161,1.03229761123657,85.2118561659316,14870,12.6427117196592,5.2,0.412410230955255,3.10983426924962,..,..
2020,YR2020,Togo,TGO,80.816,19.0768869585632,..,..,..,162.058290233133,424.622212633086,23.263528583167,4.386,-59206820.0004109,7400284167.78479,1.99215501870344,860,2370,7483885675.12908,20550441120.8531,21.3309073834957,0.237930203742775,69,32.2850099776969,..,20.1584693039089,1.93311361980237,61.123,43.7685895103885,2.83898598749665,77.18623928,64.3,105.8439388912,-986,561479980.46875,650385610.227793,159.399154256297,2.41247393684318,8669720,..,..,1.9,..,87.4940490722656,14.1844102788979,123.535186767578,..,..,56790,12.8666052547425,22.1,5.26539455872307,3.71057746614478,..,..
2020,YR2020,Tonga,TON,24.889,17.4558596693831,..,..,..,..,..,20.0904222592488,3.234,3824444.91119021,496856295.76752,1.78339492959161,5130,7170,541802259.931906,758034618.611476,24.495247491522,..,99,63.3675689103298,..,15.0977950945766,0.43844596361491,72.379,49.1087668765634,..,58.90512475,10.8,107.5346170234,-1807,162979995.727539,189964980.288663,146.811111111111,0.0331168127621577,105704,..,..,..,..,101.14722442627,24.5051623304441,112.25483743583,1.05174005031586,90.4639980016237,750,20.7862446180319,0.1,3.99813814298246,0,..,..
2020,YR2020,Trinidad and Tobago,TTO,37.684,1.77700442372342,..,..,..,6438.74956556732,10738.1172587056,..,1.572,1055969147.72389,20807716174.0546,-9.07787689348437,15180,25280,20753714645.9122,34546815600.0363,21.1531724882314,0.17586322664858,91,..,..,30.77491801406,-3.79188317365001,72.645,49.9574288357587,0.863709067504928,130.9488475,20.6,74.7912997925,427,..,194437635.916804,266.418128654971,0.200680476473799,1366725,..,..,1.1,..,..,..,..,..,..,5130,..,2,..,0.251385090037243,..,0.0651199966669083
